question_id,source_exam,source_file,source_category,source_question_number,category,question_type,prompt,stimulus,stimulus_type,image_filename,choice_a,choice_b,choice_c,choice_d,choice_e,correct_choice_label,correct_choice_text,explanation
E02_ML_Q06,2,Course Statistics - BoostPrep - 2.html,CCAT Math & Logic,6,Math & Logic,Syllogisms / Formal Logic,"Assume the first two statements are true. Is the final statement: 1) True, 2) False, or 3) Uncertain based on the information provided?",All singers in the school chorus are also in the drama club. Marcus is in the school chorus. Marcus is in the drama club.,text,,True,False,Uncertain,,,A,True,"A: Statement 1 establishes a relationship: If you are in the chorus, then you are in the drama club. Statement 2 provides a specific fact: Marcus is in the school chorus. Since Marcus is in the chorus (Statement 2) and all chorus members are also in the drama club (Statement 1), it logically follows that Marcus must be in the drama club. Therefore, the final statement is True."
E02_ML_Q07,2,Course Statistics - BoostPrep - 2.html,CCAT Math & Logic,7,Math & Logic,Syllogisms / Formal Logic,"Assume the first two statements are true. Is the final statement: 1) True, 2) False, or 3) Uncertain based on the information provided?",All books published last year were eligible for a special award. Noah's book was not eligible for the special award. Noah's book was published last year.,text,,True,False,Uncertain,,,B,False,"B: The first statement states all books published last year were eligible for a special award. The second statement indicates Noah's book was not eligible. If Noah's book was published last year (final statement), it would have to be eligible per the first statement, but this contradicts the second statement. Therefore, Noah's book cannot have been published last year, making the final statement false."
E02_ML_Q08,2,Course Statistics - BoostPrep - 2.html,CCAT Math & Logic,8,Math & Logic,"Percent, Ratio & Proportion",,15 is 25% of what number?,text,,50,55,60,65,70,C,60,"C: If 15 is 25% of a number, we can set up an equation and solve: 0.25x = 15 x = 60 Therefore, the number is 60, and the correct answer is option C."
E02_ML_Q09,2,Course Statistics - BoostPrep - 2.html,CCAT Math & Logic,9,Math & Logic,Number Series,,What would be the next number in the following series? 3 ... 7 ... 15 ... 31 ... 63 ...,text,,95,111,127,135,143,C,127,"C: To identify the pattern, notice that each number is double the previous number plus 1 3 × 2 = 6 + 1 = 7 7 × 2 = 14 + 1 = 15 15 × 2 = 30 + 1 = 31 31 × 2 = 62 + 1 = 63 63 × 2 = 126 + 1 = 127 Therefore, the next number is 127, which is option C."
E02_ML_Q10,2,Course Statistics - BoostPrep - 2.html,CCAT Math & Logic,10,Math & Logic,Basic Numeric Calculation & Comparison,,"A warehouse scanner processes an average of 45 packages every hour. If the scanner is only used while the warehouse is open, and the warehouse operates 60 hours each week, how many packages will be processed over the course of 6 weeks?",text,,"15,750","15,800","16,000","16,200","16,460",D,"16,200","D: The scanner processes 45 packages per hour. In one week, the scanner runs for 60 hours, so it processes: 45 × 60 = 2,700 packages per week Over 6 weeks, it processes: 2700 × 6 = 16,200 packages Therefore, the correct total is 16,200 packages, which aligns with option D."
E02_ML_Q11,2,Course Statistics - BoostPrep - 2.html,CCAT Math & Logic,11,Math & Logic,Applied Quantitative Word Problems,,"A technician can complete a machine repair in 2.8 hours. His less experienced assistant takes 4 hours for the same repair. If both work simultaneously and each work 56 hours in one week, how many total repairs will they complete?",text,,32,34,36,38,40,B,34,"B: The technician can complete 56 ÷ 2.8 = 20 repairs in 56 hours. The assistant can complete 56 ÷ 4 = 14 repairs in the same time. Adding these together gives 20 + 14 = 34 total repairs. Therefore, the correct answer is option B."
E02_ML_Q12,2,Course Statistics - BoostPrep - 2.html,CCAT Math & Logic,12,Math & Logic,Tables & Graphs,By what percentage did the company's revenue increase between 2018 and 2022?,ccat_mathlogic1a_33.png,image,ccat_mathlogic1a_33.png,120%,140%,150%,180%,200%,C,150%,"C: Identify the starting and ending values from the graph. Revenue in 2018: $120M Revenue in 2022: $300M We can then use the percent change formula: ((New - Old) ÷ Old) × 100 (($300 - $120) ÷ $120) × 100 1.5 × 100 150% Therefore, the revenue increased by 150% between 2018 and 2022."
E02_ML_Q13,2,Course Statistics - BoostPrep - 2.html,CCAT Math & Logic,13,Math & Logic,Basic Numeric Calculation & Comparison,,"A group of four numbers has an average (arithmetic mean) of 24. The first three numbers are 18, 30, and 12. What is the fourth number?",text,,24,28,32,34,36,E,36,"E: To find the fourth number, begin by multiplying the average by the number of values. Since the average is 24 and there are four numbers, the total sum must be: 24 × 4 = 96 Next, add the first three numbers: 18 + 30 + 12 = 60 Subtract this sum from the required total: 96 - 60 = 36 The fourth number must be 36, which is option E."
E02_ML_Q14,2,Course Statistics - BoostPrep - 2.html,CCAT Math & Logic,14,Math & Logic,"Percent, Ratio & Proportion",,An investor buys shares in a company for $10 per share. The shares increase by 30% in the first year and 20% in the second year. What is the price of the stock after two years?,text,,$14.00/share,$14.50/share,$15.00/share,$15.20/share,$15.60/share,E,$15.60/share,"E: Start with $10 (year 1). After the first year, the stock increases by 30%: $10 × .30 = $3.00 $10 + $3.00 = $13.00 Continue with $13.00 (year 2). After the second year, the stock increased by 20%: $13.00 × .20 = $2.60 $13.00 + $2.60 = $15.60 Therefore, the correct answer is option E."
E02_ML_Q15,2,Course Statistics - BoostPrep - 2.html,CCAT Math & Logic,15,Math & Logic,Applied Quantitative Word Problems,,A survey states that there is a 20% chance of a baby throwing up on any given day. What is the probability that a baby will not throw up on either the 23 rd or 24 th of April?,text,,50%,56%,60%,64%,70%,D,64%,"D: The probability of no throw up on a single day is the complement of 20%, which is 80%. For two independent days, multiply 80% by 80%: 0.8 × 0.8 = 0.64 0.64 × 100 = 64% Therefore, the correct answer is option D."
E02_ML_Q16,2,Course Statistics - BoostPrep - 2.html,CCAT Math & Logic,16,Math & Logic,"Percent, Ratio & Proportion",,"A theater can sell all 900 seats at a ticket price of $12 each. If the price is raised to $20, it expects to sell 80% of the seats. By what percentage will the theater increase its revenue if it raises the ticket price?",text,,12%,18%,23.33%,27.5%,33.33%,E,33.33%,"E: At $12 per ticket, the hall sells 900 seats for a revenue of: 900 × $12 = $10,800 At $20 per ticket, the hall sells 80% of 900: 900 × .80 = 720 720 × $20 = $14,400 We can use the percent change formula to solve: ((New - Old) ÷ Old) × 100 (($14,400 - $10,800) ÷ $10,800) × 100 0.3333 × 100 33.33% The percentage increase is 33.33%."
E02_ML_Q17,2,Course Statistics - BoostPrep - 2.html,CCAT Math & Logic,17,Math & Logic,"Percent, Ratio & Proportion",,A charity walk starts with 18 participants from Team A and 12 participants from Team B. Three participants from Team A and two participants from Team B do not finish the walk. What percentage of the participants who finish the walk are from Team A?,text,,50%,60%,63%,66%,75%,B,60%,"B: Team A starts with 18 participants and loses 3, so 15 participants from Team A finish. Team B starts with 12 and loses 2, so 10 participants from Team B finish. The total number of finishers is 15 + 10 = 25. The fraction of finishers from Team A is 15 out of 25, which is 15/25 = 0.60, and converting to a percentage gives 60%. Therefore, option B is correct."
E02_ML_Q18,2,Course Statistics - BoostPrep - 2.html,CCAT Math & Logic,18,Math & Logic,Basic Numeric Calculation & Comparison,,"What is the average (arithmetic mean) of the following numbers: 3, 7, 14, 20, and 36?",text,,12.0,14.0,15.0,16.0,18.0,D,16.0,"D: To find the average, add the five numbers to get the total sum 3 + 7 + 14 + 20 + 36 = 80. Divide this sum by the number of values, which is 5, so 80 ÷ 5 = 16. The arithmetic mean is 16.0, making option D correct."
E02_ML_Q19,2,Course Statistics - BoostPrep - 2.html,CCAT Math & Logic,19,Math & Logic,Applied Quantitative Word Problems,,"A gallery sells prints in four different sizes, offers eleven different designs, and frames each print in three frame styles. How many distinct combinations of size, design, and frame are possible?",text,,108,120,132,144,156,C,132,"C: Each finished product is chosen by picking one size, one design, and one frame. The total number of possible combinations is the product of the counts in each category, which is 4 × 11 × 3 = 132. Therefore, option C is correct."
E02_ML_Q20,2,Course Statistics - BoostPrep - 2.html,CCAT Math & Logic,20,Math & Logic,Applied Quantitative Word Problems,,"If a bag contains 30 marbles and you have a 1 6 \frac{1}{6} 6 1 ​ chance of drawing a green marble, how many green marbles are in the bag?",text,,3,4,5,6,10,C,5,"C: A probability of \frac{1}{6} means one out of every six marbles is green. Multiply the total number of marbles by the fraction \frac{1}{6} to find the count: 30 × \frac{1}{6} = 5 Therefore, there are 5 green marbles in the bag and option C is correct."
E02_ML_Q21,2,Course Statistics - BoostPrep - 2.html,CCAT Math & Logic,21,Math & Logic,Arrangement Logic,,"Sofia, Daniel, and Chloe each have a favorite book genre: one prefers mystery, one prefers sci-fi, and one prefers fantasy. Each chose their favorite genre in a different year: 2017, 2019, or 2021. Sofia prefers fantasy. Daniel chose his favorite genre in 2019. The person who prefers mystery chose their favorite genre first. Which of the following is true?",text,,Daniel chose mystery in 2019.,Sofia chose fantasy in 2017.,Chloe chose sci-fi in 2021.,Daniel chose fantasy in 2021.,Chloe chose mystery in 2017.,E,Chloe chose mystery in 2017.,"E: Sofia prefers fantasy (Clue 1), and Daniel chose his favorite genre (mystery or sci-fi) in 2019 (Clue 2). The person who prefers mystery chose their genre first (Clue 3), so mystery was chosen in 2017, the earliest year. Since Daniel's genre was chosen in 2019, Daniel cannot prefer mystery, so Chloe must prefer mystery and chose it in 2017. This leaves Daniel with sci-fi in 2019 and Sofia with fantasy in 2021. Thus, Chloe chose mystery in 2017 (Option E) is true."
E02_S_Q01,2,Course Statistics - BoostPrep - 2.html,CCAT Spatial Reasoning,1,Spatial Reasoning,Visual Next-in-Series,Which of the following boxes should replace the question mark (?) to complete the pattern?,ccat_spatial1a_13.png,image,ccat_spatial1a_13.png,A,B,C,D,E,C,C,C: C is the correct answer. The shapes are alternating every other and they stay consistent with their shading. Option C is correct.
E02_S_Q02,2,Course Statistics - BoostPrep - 2.html,CCAT Spatial Reasoning,2,Spatial Reasoning,Visual Next-in-Series,Which of the following boxes should replace the question mark (?) to complete the pattern?,ccat_spatial1a_14.png,image,ccat_spatial1a_14.png,A,B,C,D,E,B,B,"B: B is the correct answer. The shape is rotated clockwise 45 degrees each sequence. Option B completes the pattern. Option C is close, but does not have the correct boxes filled."
E02_S_Q03,2,Course Statistics - BoostPrep - 2.html,CCAT Spatial Reasoning,3,Spatial Reasoning,Visual Next-in-Series,Which of the following boxes should replace the question mark (?) to complete the pattern?,ccat_spatial1a_15.png,image,ccat_spatial1a_15.png,A,B,C,D,E,C,C,"C: C is the correct answer. The shape is rotated 180 degrees each time. Be careful to recognize that the two jagged shapes are not actually the same. In addition, option E is incorrect as it does not properly shade the jagged shapes."
E02_S_Q04,2,Course Statistics - BoostPrep - 2.html,CCAT Spatial Reasoning,4,Spatial Reasoning,Visual Next-in-Series,Which of the following boxes should replace the question mark (?) to complete the pattern?,ccat_spatial_1a_16.png,image,ccat_spatial_1a_16.png,A,B,C,D,E,A,A,"A: A is the correct answer. The shape is rotated counterclockwise 45 degrees each time. Options C and D look similar, but do not have the correct number of lines."
E02_S_Q05,2,Course Statistics - BoostPrep - 2.html,CCAT Spatial Reasoning,5,Math & Logic,Letter-Group Series,What would be the next group of letters in the following series?,zamt ... ycns ... xeor ... wgpq ...,text,,tihp,vipq,uhqp,vjqp,viqp,E,viqp,"E: E is the correct answer. Look at each position in the 4-letter groups separately. 1st letters: z - y - x - w: (letters decrease by 1) = v 2nd letters: a - c - e - g: (letters increase by 2) = i 3rd letters: m - n - o - p: (letters increase by 1) = q 4th letters: t - s - r - q: (letters decrease by 1) = p That gives us viqp, or option E."
E02_S_Q06,2,Course Statistics - BoostPrep - 2.html,CCAT Spatial Reasoning,6,Spatial Reasoning,Odd One Out,Which of the following does not belong?,ccat_spatial1a_18.png,image,ccat_spatial1a_18.png,A,B,C,D,E,C,C,C: The odd one out in this question is option C. All of the options (except C) have 2 squares and a trapezoid. Option C has 2 squares and a triangle.
E02_S_Q07,2,Course Statistics - BoostPrep - 2.html,CCAT Spatial Reasoning,7,Spatial Reasoning,Odd One Out,Which of the following does not belong?,ccat_spatial_1a_19.png,image,ccat_spatial_1a_19.png,A,B,C,D,E,C,C,C: The odd one out in this question is option C. Option C does not have as many edges as the other options.
E02_S_Q08,2,Course Statistics - BoostPrep - 2.html,CCAT Spatial Reasoning,8,Spatial Reasoning,Odd One Out,Which of the following does not belong?,ccat_spatial_1a_20.png,image,ccat_spatial_1a_20.png,A,B,C,D,E,E,E,"E: The odd one out in this question is option E. All the options (except E) have a hexagon, circle, and triangle. Option E has a hexagon, circle, and a square."
E02_S_Q09,2,Course Statistics - BoostPrep - 2.html,CCAT Spatial Reasoning,9,Spatial Reasoning,Odd One Out,Which of the following does not belong?,ccat_spatial_1a_21.png,image,ccat_spatial_1a_21.png,A,B,C,D,E,B,B,B: The odd one out in this question is option B. All the options (except B) have 2 shaded triangles and 2 shaded circles. Option B does not follow this pattern.
E02_S_Q10,2,Course Statistics - BoostPrep - 2.html,CCAT Spatial Reasoning,10,Spatial Reasoning,Matrix Completion,Which of the following boxes should replace the question mark (?) to complete the pattern?,ccat_spatial_1a_22.png,image,ccat_spatial_1a_22.png,A,B,C,D,E,B,B,"B: B is the correct answer. We can see that there is a pattern within each column and row. Column 1 starts with 1 shape and adds a shape each time. Column 2 starts with 2 shapes and adds a shape each time. We can also see that column 1 is shaded, column 2 is unshaded, and column 3 is shaded. We can also see that each row follows a pattern. Row 1 has the spiked shape each time. Row 2 has the octagonal shape each time. Row 3 has the other octagonal shape each time. We are also adding 1 shape across the rows. Option B fits the matrix as it uses the shaded spiked shape and includes 3 of them."
E02_S_Q11,2,Course Statistics - BoostPrep - 2.html,CCAT Spatial Reasoning,11,Spatial Reasoning,Matrix Completion,Which of the following boxes should replace the question mark (?) to complete the pattern?,ccat_spatial_1a_23.png,image,ccat_spatial_1a_23.png,A,B,C,D,E,A,A,"A: A is the correct answer. We can see that there is a pattern within each column and row. Column 1 has octagons, and we are taking away 2 each time. Column 2 has squares, and we are taking away 2 each time. Column 3 has a spiked shape, and we are taking away 2 each time. We can also see that each row follows a pattern. Row 1 has 5 total shapes with the middle one unshaded. Row 2 has 3 total shapes with the middle one unshaded. Row 3 has 1 total shape, and they are unshaded. Option A fits the matrix as it uses squares and has the middle square unshaded. It also is oriented the correct way."
E02_S_Q12,2,Course Statistics - BoostPrep - 2.html,CCAT Spatial Reasoning,12,Spatial Reasoning,Matrix Completion,Which of the following boxes should replace the question mark (?) to complete the pattern?,ccat_spatial_1a_24.png,image,ccat_spatial_1a_24.png,A,B,C,D,E,C,C,C: C is the correct answer. We can see that there is a pattern within each column and row. Column 1 rotates the group of triangles 90 degrees clockwise each time. The same goes for columns 2 and 3. We can also see that each row follows a pattern. Row 1 also rotates the group of triangles 90 degrees clockwise each time. The same goes for columns 2 and 3. Option C fits the matrix as it correctly rotates the group of triangles. Use the unshaded triangle to more easily follow the pattern.
E03_V_Q01,3,Course Statistics - BoostPrep - 3.html,CCAT Verbal,1,Verbal,Sentence Completion,"Choose the word or words that, when inserted in the sentence to replace the blank or blanks, best fits the meaning of the sentence.",The artist's use of bold colors and unique textures is what _____ her work from that of her peers.,text,,blends,differentiates,nullifies,conceals,limits,B,differentiates,"B : ""Differentiates"" means to make something distinct, which fits the sentence's focus on how the artist's work stands out from others."
E03_V_Q02,3,Course Statistics - BoostPrep - 3.html,CCAT Verbal,2,Verbal,Sentence Completion,"Choose the word or words that, when inserted in the sentence to replace the blank or blanks, best fits the meaning of the sentence.","The hikers reached the summit just as the sun began to _____, casting a golden glow over the landscape after a long day.",text,,ascend,rise,set,shine,eclipse,C,set,"C: ""Set"" is the most appropriate word, as it refers to the sun going down (after a long day), which fits the context of the sun casting a glow as it descends."
E03_V_Q03,3,Course Statistics - BoostPrep - 3.html,CCAT Verbal,3,Verbal,Sentence Completion,"Choose the word or words that, when inserted in the sentence to replace the blank or blanks, best fits the meaning of the sentence.","Though the initial response to the proposal was positive, support for the initiative quickly _____ as logistical challenges emerged.",text,,flourished,dissipated,surged,disappointed,ballooned,B,dissipated,"B : ""Dissipated"" means gradually disappeared or lessened, which fits the sentence's idea of support declining due to challenges."
E03_V_Q04,3,Course Statistics - BoostPrep - 3.html,CCAT Verbal,4,Verbal,Sentence Completion,"Choose the word or words that, when inserted in the sentence to replace the blank or blanks, best fits the meaning of the sentence.","The senator delivered her speech with the _________ of sincerity, yet every phrase was carefully crafted to _________ public opinion in her favor.",text,,facade ... manipulate,passion ... strengthen,tone ... clarify,hint ... disguise,air ... contradict,A,facade ... manipulate,"A: ""Facade"" implies a deceptive appearance of sincerity, and ""manipulate"" fits the idea of subtly steering public opinion."
E03_V_Q05,3,Course Statistics - BoostPrep - 3.html,CCAT Verbal,5,Verbal,Sentence Completion,"Choose the word or words that, when inserted in the sentence to replace the blank or blanks, best fits the meaning of the sentence.",The artist's sudden shift from minimalism to chaotic abstraction seemed less a bold innovation than a desperate attempt to _________ waning public interest through a display of _________ novelty.,text,,revive ... contrived,sustain ... timeless,discourage ... effortless,conceal ... genuine,inspire ... authentic,A,revive ... contrived,"A: The sentence implies the artist is trying to recover interest (""revive"") using something forced or artificial (""contrived"" novelty)."
E03_V_Q06,3,Course Statistics - BoostPrep - 3.html,CCAT Verbal,6,Verbal,Sentence Completion,"Choose the word or words that, when inserted in the sentence to replace the blank or blanks, best fits the meaning of the sentence.","The scientist's groundbreaking research was initially met with skepticism, but over time it gained _____ among her peers, leading to widespread acceptance of her theories.",text,,disdain,prominence,obfuscation,contention,derision,B,prominence,"B : ""Prominence"" fits the context as it indicates that the scientist's research became well-known and respected among her peers, contrasting with initial skepticism."
E03_V_Q07,3,Course Statistics - BoostPrep - 3.html,CCAT Verbal,7,Verbal,Sentence Completion,"Choose the word or words that, when inserted in the sentence to replace the blank or blanks, best fits the meaning of the sentence.","Although the company claimed the layoffs were driven by economic necessity, the timing suggested a more _________ motive to _________ dissent within its ranks.",text,,pragmatic ... encourage,obscure ... amplify,strategic ... silence,random ... expose,careless ... conceal,C,strategic ... silence,"C : The layoffs appear deliberate (""strategic"") and intended to suppress opposition (""silence"")."
E03_V_Q08,3,Course Statistics - BoostPrep - 3.html,CCAT Verbal,8,Verbal,Sentence Completion,"Choose the word or words that, when inserted in the sentence to replace the blank or blanks, best fits the meaning of the sentence.","The organization's commitment to community service is _____, reflecting its core values of social responsibility and compassion.",text,,superficial,emblematic,disingenuous,incidental,marginal,B,emblematic,"B : ""Emblematic"" indicates that the commitment is a clear representation of the organization's values."
E03_V_Q09,3,Course Statistics - BoostPrep - 3.html,CCAT Verbal,9,Verbal,Sentence Completion,"Choose the word or words that, when inserted in the sentence to replace the blank or blanks, best fits the meaning of the sentence.","The biographer's account was praised for its elegance but criticized for its _________ treatment of facts, which seemed to _________ the subject's flaws entirely.",text,,meticulous ... reveal,superficial ... overlook,harsh ... exaggerate,detailed ... expose,balanced ... emphasize,B,superficial ... overlook,"B : The sentence contrasts elegance with lack of depth. ""Superficial"" fits that, and ""overlook"" aligns with ignoring flaws."
E03_V_Q10,3,Course Statistics - BoostPrep - 3.html,CCAT Verbal,10,Verbal,Analogies,,ELEPHANT is to TUSK as PARROT is to ______.,text,,feather,colorful,beak,talking,funny,C,beak,C: Option (C) is the correct answer. A tusk is a telling sign of an elephant. It is located near the nose of the elephant. Option (C) is the best answer here as all parrots have a beak and it is also located around the nose area.
E03_V_Q11,3,Course Statistics - BoostPrep - 3.html,CCAT Verbal,11,Verbal,Analogies,,COUNTRY is to PRESIDENT as STATE is to _______.,text,,governor,senator,mayor,city council,prime minister,A,governor,"A: The best choice is (A). A president is the highest ranking official (in the United States) for a country. We are looking for the highest-ranking official for a state. In this case, it would be a governor."
E03_V_Q12,3,Course Statistics - BoostPrep - 3.html,CCAT Verbal,12,Verbal,Analogies,,PUPPY is to DOG as ...,text,,CHICK is to GIRL,DUCK is to BIRD,CALF is to GOAT,KITTEN is to CAT,EGG is to SHELL,D,KITTEN is to CAT,"D : A kitten is a young cat, just as a puppy is a young dog. This is a relationship of a juvenile form to its adult form."
E03_V_Q13,3,Course Statistics - BoostPrep - 3.html,CCAT Verbal,13,Verbal,Analogies,,POLITE is to RUDE as ...,text,,FRAGILE is to BRITTLE,ARROGANT is to CONFIDENT,HAPPY is to GLAD,SILENT is to HUSHED,OPTIMISTIC is to PESSIMISTIC,E,OPTIMISTIC is to PESSIMISTIC,"E : ""Polite"" and ""rude"" are opposites, just as ""optimistic"" and ""pessimistic"" are opposites."
E03_V_Q14,3,Course Statistics - BoostPrep - 3.html,CCAT Verbal,14,Verbal,Attention to Detail,How many of the five items in the left-hand column are exactly the same as the corresponding entry in the right-hand column?,Maple Ridge Properties | Maple Rige Properties; Clearwater Insurance | Clearwater Insurance; Beacon Construction | Beacon Construct; Evergreen Technologies | Evergreen Technologies; Silverline Transportation | Silverlines Transportation,text_table,,1,2,3,4,5,B,2,"B: ""Maple Ridge Properties"" and ""Maple Rige Properties"" are different. ""Beacon Construction"" and ""Beacon Construct"" are different. ""Silverline Transportation"" and ""Silverlines Transportation"" are also different. Therefore, 2 items are exactly the same."
E03_V_Q15,3,Course Statistics - BoostPrep - 3.html,CCAT Verbal,15,Verbal,Attention to Detail,How many of the five items in the left-hand column are exactly the same as the corresponding entry in the right-hand column?,Silver Ridge Capital | Silverridge Capital; Evergreen Systems | Evergreen System; Windmill Technologies | Windmill Technologies; Glacier Bay Insurance | Glacier Bay Insurances; Harborfront Associates | Harborfront Associate,text_table,,1,2,3,4,5,A,1,"A: ""Silver Ridge Capital"" and ""Silverridge Capital"" are different. ""Evergreen Systems"" and ""Evergreen System"" are different. ""Glacier Bay Insurance"" and ""Glacier Bay Insurances"" are different. ""Harborfront Associates"" and ""Harborfront Associate"" are different."
E03_V_Q16,3,Course Statistics - BoostPrep - 3.html,CCAT Verbal,16,Verbal,Attention to Detail,How many of the five items in the left-hand column are exactly the same as the corresponding entry in the right-hand column?,Fletcher & Co. Law Firm | Fletcher & Co. Law Firm; Sunshine Construction Group | Sunshine Construction Groups; Maple Tree Nursery | Mapple Tree Nursery; Innovative Tech Solutions | Innovative Tech Solution; Silver Mountain Resorts | Silver Mountain Resorts,text_table,,1,2,3,4,5,B,2,"B: ""Sunshine Construction Group"" and ""Sunshine Construction Groups"" are different, ""Innovative Tech Solutions"" and ""Innovative Tech Solution"" are different, and ""Maple Tree Nursery"" and ""Mapple Tree Nursery"" are different. Therefore, 2 items are exactly the same."
E03_V_Q17,3,Course Statistics - BoostPrep - 3.html,CCAT Verbal,17,Verbal,Antonyms,One word below is underlined. What is the OPPOSITE of that word?,"Sarah was not only beautiful, but also [[knowledgeable]] on various topics.",text,,ignorant,informed,well read,cultured,seasoned,A,ignorant,"A: Option (A) is the best answer. Knowledgeable means ""intelligent and well informed."" Ignorant is the best choice for an opposite word."
E03_V_Q18,3,Course Statistics - BoostPrep - 3.html,CCAT Verbal,18,Verbal,Antonyms,One word below is underlined. What is the OPPOSITE of that word?,It took a [[tremendous]] effort to win the game.,text,,slight,huge,enormous,colossal,hulking,A,slight,"A: Option (A) is the best answer. Tremendous means ""very great in amount."" The only term above that is opposite of tremendous is slight which means ""small in degree or inconsiderable."""
E03_ML_Q01,3,Course Statistics - BoostPrep - 3.html,CCAT Math & Logic,1,Math & Logic,Basic Numeric Calculation & Comparison,,Which of the following numbers is the smallest?,text,,.91,.94,1.91,1.01,.98,A,.91,"A: Option (A) is correct. Eliminate options (C) and (D) by seeing they have a 1 in front of them. Next, compare the tenths place for options (A), (B), and (E) - they all have a 9, so this does not help. Finally, compare the hundredths place and look for the smallest number - option (A)."
E03_ML_Q02,3,Course Statistics - BoostPrep - 3.html,CCAT Math & Logic,2,Math & Logic,"Percent, Ratio & Proportion",,15 is 30% of what number?,text,,35,40,45,50,55,D,50,"D: We can setup an equation to quickly solve this: 15 = 0.3x x = \frac{15}{0.3} To make the division easier without a calculator, multiply the numerator and the denominator by 10: x = \frac{15\times10}{0.3\times10}=\frac{150}{3} x = 50"
E03_ML_Q03,3,Course Statistics - BoostPrep - 3.html,CCAT Math & Logic,3,Math & Logic,Basic Numeric Calculation & Comparison,,"The total sales in October was $1,900, for November it was $500 less than October, and for December it was $1,200 more than October. The average monthly sales was _____ for these 3 months?",text,,"$2,050","$2,100.33","$2,133.33","$2,450","$2,529.33",C,"$2,133.33","C: We need to find the average for all 3 months. 1900 + (1900-500) + (1900+1200) = 6400. Take 6400 / 3 and get $2,133.33."
E03_ML_Q04,3,Course Statistics - BoostPrep - 3.html,CCAT Math & Logic,4,Math & Logic,"Percent, Ratio & Proportion",,"In an over-booked Champaign-Chicago flight, the plane has 140 seats, and the number of confirmed passengers was 110% of the plane capacity. How many passengers are to be transferred to other flights?",text,,10 passengers,11 passengers,12 passengers,13 passengers,14 passengers,E,14 passengers,E: The percentage of excess passengers = 110% - 100% = 10%. The number of excess passengers = (10%) * 140 = (10/100) * 140 = 14 passenger. The correct answer is option (E).
E03_ML_Q05,3,Course Statistics - BoostPrep - 3.html,CCAT Math & Logic,5,Math & Logic,"Percent, Ratio & Proportion",,"Two battery companies sold a total of 700 batteries last month. Company A sold 6 times as many batteries as Company B. Therefore, Company B sold _____ batteries.",text,,50,75,80,100,120,D,100,"D: We can quickly set up an equation to solve this. 6x + x = 700. 7x = 700. Divide both sides by 7 and get x = 100. If we have extra time, we can plug in the numbers to the equation to check -> 6(100) + 100 = 700."
E03_ML_Q06,3,Course Statistics - BoostPrep - 3.html,CCAT Math & Logic,6,Math & Logic,Applied Quantitative Word Problems,,"The cost of 9 Oreo packages is $26. At this rate, it would cost ____ to buy 18 boxes.",text,,45,49,52,54,56,C,52,"C: The quickest way to solve this problem is to realize 18 is exactly double 9. So we can double 26 (26*2) which is $52.We could also set up a proportion where 9/26 = 18/x. We would then cross multiply and arrive at the same answer. Options (D) and (E) might be readily dismissed (even before any computations), since the South American share of tournaments won should be less than half the total (and definitely less than the total)."
E03_ML_Q07,3,Course Statistics - BoostPrep - 3.html,CCAT Math & Logic,7,Math & Logic,"Percent, Ratio & Proportion",,The number of countries applying for a loan from the World Monetary Fund (WMF) during a particular interval of time is 78. Out of these only 26 were ultimately granted the required loans. This is an acceptance rate of _____.,text,,1 in 10,1 in 3,1 in 50,1 in 2022,None of the above,B,1 in 3,B: The acceptance rate = 26 country / 78 country = 1/ 3. The correct answer is option (B).
E03_ML_Q08,3,Course Statistics - BoostPrep - 3.html,CCAT Math & Logic,8,Math & Logic,Applied Quantitative Word Problems,,"A cell can replicate itself 3,800 times every 30 seconds. At this rate, it would take ______ seconds to replicate itself 13,500 times.",text,,106.6,108.6,109.8,111.8,112,A,106.6,"A: We can set up a proportion to solve this question. 3800/30 = 13500/x. We cross-multiply to get 3800x = 405,000. We divide both sides by 3800 to get 106.6 seconds."
E03_ML_Q09,3,Course Statistics - BoostPrep - 3.html,CCAT Math & Logic,9,Math & Logic,Applied Quantitative Word Problems,,"An American tourist arrived in Munich, Germany with cash money of $5000. She exchanged her US currency for European currency at the official rate of $1 = EUR 0.87, where EUR depicts a European Euro. She now possesses _____ Euros.",text,,EUR 2175,EUR 4350,EUR 4860,EUR 4890,"EUR 146,700",B,EUR 4350,B: The amount of money = 5000 dollar = 5000 * ($ 1) = 5000 * (EUR 0.87) = EUR 4350. Option (B) is the correct answer.
E03_ML_Q10,3,Course Statistics - BoostPrep - 3.html,CCAT Math & Logic,10,Math & Logic,"Percent, Ratio & Proportion",,A drawer has 45 pens in it. There are 2 times as many red pens as there are blue pens. The drawer has ______ red pens in it.,text,,15,20,30,35,40,C,30,"C: We can set up an equation to solve this. x + 2x = 45 3x = 45 x = 15 The question asks for the number of red pens, which is (15*2) = 30."
E03_ML_Q11,3,Course Statistics - BoostPrep - 3.html,CCAT Math & Logic,11,Math & Logic,"Percent, Ratio & Proportion",,"A train sold 50 tickets for a route with 250 seats, meaning they sold tickets for _______ of their seats.",text,,15%,20%,25%,30%,33%,B,20%,B: We can quickly divide 50 by 250 to get our answer of 20%. We can also make a fraction and simplify ---> 50/250 which = 1/5 when simplified.
